,city,Longitude,Latitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date Time
0,sao filipe,-24.5,14.9,75.16,78,55,8.05,CV,1594050737
1,pauini,-66.98,-7.71,94.19,46,77,1.12,BR,1594050737
2,bull savanna,-77.59,17.89,85.17,60,3,9.57,JM,1594050737
3,rikitea,-134.97,-23.12,72.9,79,2,4.14,PF,1594050737
4,havoysund,24.66,71.0,48.2,100,75,21.92,NO,1594050737
5,albany,-73.97,42.6,82.0,48,0,4.97,US,1594050737
6,leningradskiy,178.42,69.38,43.02,80,32,5.06,RU,1594050737
7,busselton,115.33,-33.65,57.0,69,67,18.97,AU,1594050737
8,vaini,-175.2,-21.2,75.2,88,75,9.17,TO,1594050737
9,snyder,-100.92,32.72,77.0,78,40,5.82,US,1594050477
10,cape town,18.42,-33.93,62.01,82,40,10.29,ZA,1594050534
11,nikolskoye,30.79,59.7,69.8,49,20,8.95,RU,1594050737
12,ponta do sol,-17.1,32.67,82.4,48,20,20.8,PT,1594050737
13,los llanos de aridane,-17.92,28.66,81.0,73,20,14.99,ES,1594050738
14,ushuaia,-68.3,-54.8,30.2,92,20,3.36,AR,1594050738
15,jamestown,-79.24,42.1,78.8,57,1,4.21,US,1594050738
16,hobyo,48.53,5.35,79.81,73,61,28.27,SO,1594050738
17,new norfolk,147.06,-42.78,41.0,79,85,3.0,AU,1594050738
18,ayr,-4.63,55.46,57.2,67,40,16.11,GB,1594050705
19,humaita,-63.02,-7.51,93.0,45,89,2.95,BR,1594050738
20,vestmanna,-7.17,62.16,46.4,87,79,21.92,FO,1594050738
21,winnemucca,-117.74,40.97,69.8,21,1,2.42,US,1594050738
22,romitan,64.38,39.93,82.4,26,0,11.41,UZ,1594050738
23,port alfred,26.89,-33.59,70.09,32,0,6.96,ZA,1594050738
24,kavaratti,72.64,10.57,83.64,76,97,16.24,IN,1594050738
25,lakes entrance,147.98,-37.88,50.0,88,84,10.74,AU,1594050738
26,airai,125.41,-8.93,57.18,100,51,3.96,TL,1594050738
27,puerto ayora,-90.35,-0.74,73.4,78,75,17.22,EC,1594050738
28,lobito,13.55,-12.35,75.43,68,19,5.7,AO,1594050738
29,kapaa,-159.32,22.08,77.0,88,90,14.99,US,1594050738
30,dingle,122.67,11.0,78.76,80,37,5.1,PH,1594050738
31,kahului,-156.47,20.89,77.0,65,1,9.17,US,1594050739
32,kaitangata,169.85,-46.28,48.99,87,100,15.01,NZ,1594050739
33,torit,32.57,4.41,73.22,88,99,2.17,SS,1594050739
34,bluff,168.33,-46.6,48.56,86,100,17.0,NZ,1594050739
35,punta arenas,-70.92,-53.15,28.4,100,90,7.45,CL,1594050739
36,southbridge,-72.03,42.08,82.0,60,2,5.73,US,1594050685
37,hobart,147.33,-42.88,44.6,78,90,11.41,AU,1594050514
38,katsuura,140.3,35.13,79.0,91,100,5.99,JP,1594050739
39,mataura,168.86,-46.19,46.2,94,100,8.08,NZ,1594050739
40,inuvik,-133.72,68.35,41.0,100,90,6.93,CA,1594050739
41,atuona,-139.03,-9.8,78.98,78,8,17.18,PF,1594050739
42,lindi,39.72,-10.0,78.8,61,40,11.41,TZ,1594050739
43,san carlos de bariloche,-71.31,-41.15,32.0,93,20,10.29,AR,1594050739
44,bima,118.72,-8.47,73.4,90,24,3.15,ID,1594050739
